N,count,N-gram
2,2,"['brk', 'openat']"
2,2,"['brk', 'rt_sigaction']"
2,2,"['brk', 'brk']"
2,2,"['madvise', 'madvise']"
2,2,"['read', 'close']"
2,2,"['mprotect', 'brk']"
2,2,"['read', 'fstat']"
2,2,"['pread64', 'clone']"
2,2,"['fstat', 'mmap']"
2,2,"['rt_sigprocmask', 'pread64']"
2,2,"['openat', 'fstat']"
2,2,"['set_tid_address', 'openat']"
2,2,"['openat', 'set_robust_list']"
2,2,"['rt_sigaction', 'rt_sigprocmask']"
2,2,"['clone', 'set_tid_address']"
2,2,"['mmap', 'mprotect']"
2,2,"['set_robust_list', 'prlimit64']"
2,2,"['close', 'fstat']"
3,2,"['read', 'close', 'fstat']"
3,2,"['brk', 'brk', 'openat']"
3,2,"['close', 'fstat', 'mmap']"
3,2,"['set_tid_address', 'openat', 'set_robust_list']"
3,2,"['mprotect', 'brk', 'rt_sigaction']"
3,2,"['mmap', 'mprotect', 'brk']"
3,2,"['rt_sigaction', 'rt_sigprocmask', 'pread64']"
3,2,"['clone', 'set_tid_address', 'openat']"
3,2,"['pread64', 'clone', 'set_tid_address']"
3,2,"['openat', 'set_robust_list', 'prlimit64']"
3,2,"['madvise', 'madvise', 'madvise']"
3,2,"['rt_sigprocmask', 'pread64', 'clone']"
3,2,"['openat', 'fstat', 'mmap']"
3,2,"['fstat', 'mmap', 'mprotect']"
3,2,"['brk', 'rt_sigaction', 'rt_sigprocmask']"
4,2,"['clone', 'set_tid_address', 'openat', 'set_robust_list']"
4,2,"['rt_sigprocmask', 'pread64', 'clone', 'set_tid_address']"
4,2,"['rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone']"
4,2,"['mmap', 'mprotect', 'brk', 'rt_sigaction']"
4,2,"['close', 'fstat', 'mmap', 'mprotect']"
4,2,"['set_tid_address', 'openat', 'set_robust_list', 'prlimit64']"
4,2,"['brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64']"
4,2,"['read', 'close', 'fstat', 'mmap']"
4,2,"['mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask']"
4,2,"['pread64', 'clone', 'set_tid_address', 'openat']"
4,2,"['fstat', 'mmap', 'mprotect', 'brk']"
5,2,"['read', 'close', 'fstat', 'mmap', 'mprotect']"
5,2,"['mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64']"
5,2,"['brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone']"
5,2,"['rt_sigprocmask', 'pread64', 'clone', 'set_tid_address', 'openat']"
5,2,"['rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address']"
5,2,"['clone', 'set_tid_address', 'openat', 'set_robust_list', 'prlimit64']"
5,2,"['close', 'fstat', 'mmap', 'mprotect', 'brk']"
5,2,"['mmap', 'mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask']"
5,2,"['pread64', 'clone', 'set_tid_address', 'openat', 'set_robust_list']"
5,2,"['fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction']"
6,2,"['read', 'close', 'fstat', 'mmap', 'mprotect', 'brk']"
6,2,"['brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address']"
6,2,"['pread64', 'clone', 'set_tid_address', 'openat', 'set_robust_list', 'prlimit64']"
6,2,"['rt_sigprocmask', 'pread64', 'clone', 'set_tid_address', 'openat', 'set_robust_list']"
6,2,"['close', 'fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction']"
6,2,"['fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask']"
6,2,"['mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone']"
6,2,"['rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address', 'openat']"
6,2,"['mmap', 'mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64']"
7,2,"['brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address', 'openat']"
7,2,"['mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address']"
7,2,"['read', 'close', 'fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction']"
7,2,"['fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask', 'pread64']"
7,2,"['close', 'fstat', 'mmap', 'mprotect', 'brk', 'rt_sigaction', 'rt_sigprocmask']"
7,2,"['rt_sigaction', 'rt_sigprocmask', 'pread64', 'clone', 'set_tid_address', 'openat', 'set_robust_list']"
