N,count,N-gram
2,3,"['openat', 'fstat']"
2,2,"['stat', 'openat']"
2,2,"['read', 'lseek']"
2,2,"['mmap', 'ioctl']"
2,2,"['openat', 'stat']"
2,3,"['mmap', 'munmap']"
2,2,"['mmap', 'socket']"
2,2,"['lseek', 'read']"
2,2,"['munmap', 'pipe']"
2,3,"['openat', 'brk']"
2,2,"['brk', 'execve']"
2,2,"['close', 'close']"
2,3,"['read', 'fstat']"
2,2,"['getgid', 'setresuid']"
2,3,"['read', 'close']"
2,2,"['strrchr', 'fstat']"
2,2,"['openat', 'openat']"
2,2,"['read', 'strrchr']"
2,9,"['brk', 'brk']"
2,4,"['getuid', 'getgid']"
2,2,"['close', 'brk']"
2,2,"['pipe', 'close']"
2,2,"['fstat', 'read']"
2,3,"['brk', 'openat']"
2,2,"['getuid', 'execve']"
2,2,"['openat', 'read']"
2,2,"['socket', 'mmap']"
2,2,"['close', 'rt_sigaction']"
2,2,"['fstat', 'brk']"
2,2,"['getuid', 'brk']"
2,2,"['write', 'close']"
2,4,"['setresuid', 'setresgid']"
2,2,"['rt_sigaction', 'vmsplice']"
2,2,"['setresgid', 'mmap']"
2,2,"['strrchr', 'close']"
2,4,"['mmap', 'mmap']"
3,2,"['fstat', 'read', 'fstat']"
3,3,"['mmap', 'mmap', 'mmap']"
3,2,"['getgid', 'setresuid', 'setresgid']"
3,2,"['mmap', 'mmap', 'munmap']"
3,2,"['getuid', 'brk', 'brk']"
3,3,"['brk', 'brk', 'openat']"
3,2,"['close', 'rt_sigaction', 'vmsplice']"
3,2,"['brk', 'openat', 'brk']"
3,2,"['read', 'strrchr', 'close']"
3,2,"['close', 'brk', 'brk']"
3,2,"['fstat', 'read', 'close']"
3,2,"['strrchr', 'fstat', 'read']"
3,2,"['openat', 'fstat', 'read']"
3,2,"['setresgid', 'mmap', 'mmap']"
3,3,"['openat', 'brk', 'brk']"
3,2,"['pipe', 'close', 'rt_sigaction']"
3,2,"['fstat', 'brk', 'brk']"
3,2,"['setresuid', 'setresgid', 'mmap']"
3,2,"['mmap', 'munmap', 'pipe']"
3,2,"['stat', 'openat', 'stat']"
3,2,"['lseek', 'read', 'lseek']"
3,2,"['openat', 'stat', 'openat']"
3,2,"['brk', 'brk', 'execve']"
3,2,"['getuid', 'getgid', 'setresuid']"
3,2,"['read', 'fstat', 'read']"
3,2,"['read', 'strrchr', 'fstat']"
3,2,"['fstat', 'read', 'strrchr']"
3,3,"['brk', 'openat', 'fstat']"
3,2,"['munmap', 'pipe', 'close']"
4,2,"['openat', 'brk', 'brk', 'openat']"
4,2,"['strrchr', 'fstat', 'read', 'close']"
4,2,"['setresgid', 'mmap', 'mmap', 'mmap']"
4,2,"['mmap', 'mmap', 'munmap', 'pipe']"
4,2,"['read', 'fstat', 'read', 'strrchr']"
4,2,"['read', 'strrchr', 'fstat', 'read']"
4,2,"['openat', 'fstat', 'read', 'fstat']"
4,2,"['brk', 'openat', 'fstat', 'read']"
4,2,"['strrchr', 'fstat', 'read', 'fstat']"
4,2,"['getgid', 'setresuid', 'setresgid', 'mmap']"
4,2,"['pipe', 'close', 'rt_sigaction', 'vmsplice']"
4,2,"['fstat', 'read', 'strrchr', 'fstat']"
4,3,"['mmap', 'mmap', 'mmap', 'mmap']"
4,2,"['openat', 'fstat', 'read', 'strrchr']"
4,2,"['fstat', 'read', 'fstat', 'read']"
4,3,"['brk', 'brk', 'openat', 'fstat']"
4,2,"['brk', 'brk', 'openat', 'brk']"
4,2,"['setresuid', 'setresgid', 'mmap', 'mmap']"
4,2,"['strrchr', 'fstat', 'read', 'strrchr']"
4,2,"['munmap', 'pipe', 'close', 'rt_sigaction']"
4,2,"['mmap', 'mmap', 'mmap', 'munmap']"
4,2,"['brk', 'openat', 'brk', 'brk']"
4,2,"['read', 'fstat', 'read', 'fstat']"
4,2,"['close', 'brk', 'brk', 'openat']"
4,2,"['read', 'fstat', 'read', 'close']"
4,2,"['mmap', 'munmap', 'pipe', 'close']"
4,2,"['getuid', 'brk', 'brk', 'execve']"
4,2,"['fstat', 'read', 'strrchr', 'close']"
4,2,"['openat', 'stat', 'openat', 'stat']"
4,2,"['getuid', 'getgid', 'setresuid', 'setresgid']"
5,2,"['read', 'fstat', 'read', 'strrchr', 'fstat']"
5,2,"['brk', 'openat', 'fstat', 'read', 'fstat']"
5,2,"['brk', 'brk', 'openat', 'fstat', 'read']"
5,2,"['getuid', 'getgid', 'setresuid', 'setresgid', 'mmap']"
5,2,"['fstat', 'read', 'fstat', 'read', 'fstat']"
5,2,"['fstat', 'read', 'fstat', 'read', 'close']"
5,2,"['mmap', 'mmap', 'munmap', 'pipe', 'close']"
5,2,"['brk', 'openat', 'brk', 'brk', 'openat']"
5,2,"['getgid', 'setresuid', 'setresgid', 'mmap', 'mmap']"
5,2,"['brk', 'openat', 'fstat', 'read', 'strrchr']"
5,2,"['fstat', 'read', 'strrchr', 'fstat', 'read']"
5,2,"['fstat', 'read', 'fstat', 'read', 'strrchr']"
5,2,"['openat', 'fstat', 'read', 'strrchr', 'fstat']"
5,2,"['brk', 'brk', 'openat', 'brk', 'brk']"
5,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap']"
5,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap']"
5,2,"['read', 'fstat', 'read', 'fstat', 'read']"
5,2,"['strrchr', 'fstat', 'read', 'strrchr', 'close']"
5,2,"['strrchr', 'fstat', 'read', 'fstat', 'read']"
5,2,"['mmap', 'mmap', 'mmap', 'munmap', 'pipe']"
5,2,"['munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
5,2,"['read', 'strrchr', 'fstat', 'read', 'close']"
5,2,"['openat', 'brk', 'brk', 'openat', 'fstat']"
5,2,"['strrchr', 'fstat', 'read', 'strrchr', 'fstat']"
5,2,"['read', 'strrchr', 'fstat', 'read', 'strrchr']"
5,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap']"
5,2,"['mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
5,2,"['read', 'strrchr', 'fstat', 'read', 'fstat']"
5,2,"['openat', 'fstat', 'read', 'fstat', 'read']"
6,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap']"
6,2,"['openat', 'brk', 'brk', 'openat', 'fstat', 'read']"
6,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'strrchr']"
