N,N-gram,count
2,"14,9",25
2,"1,exit",27
2,"257,5",26
2,"61,1",17
2,"13,14",25
2,"12,5",16
2,"102,104",14
2,"3,3",12
2,"72,3",36
2,"56,1",42
2,"3,1",39
2,"_3=prepare_kernel_cred.1_2,commit_creds.0_1",10
2,"13,13",26
2,"14,61",25
2,"257,1",12
2,"117,119",10
2,"14,56",25
2,"1,32",16
2,"11,14",25
2,"61,13",25
2,"1,5",20
2,"12,1",11
2,"56,11",25
2,"12,exit",10
2,"1,59",11
2,"12,257",24
2,"5,12",22
2,"0,fclose",17
2,"strstr,strstr",12
2,"strstr,5",12
2,"12,12",44
2,"0,strstr",11
2,"0,5",22
2,"1,101",10
2,"1,56",10
2,"1,3",21
2,"32,72",36
2,"41,32",11
2,"5,0",25
2,"9,14",25
2,"1,1",12
3,"9,14,56",25
3,"14,9,14",25
3,"5,12,12",22
3,"5,0,5",19
3,"13,14,9",25
3,"257,5,0",19
3,"11,14,61",25
3,"12,12,5",16
3,"0,strstr,strstr",10
3,"0,5,0",18
3,"13,13,14",25
3,"12,5,12",11
3,"3,1,exit",19
3,"5,0,strstr",10
3,"12,12,257",24
3,"41,32,72",11
3,"1,32,72",16
3,"1,5,12",13
3,"72,3,1",36
3,"61,13,13",25
3,"5,0,fclose",16
3,"14,61,13",25
3,"14,56,11",25
3,"strstr,5,0",11
3,"strstr,strstr,5",11
3,"56,11,14",25
3,"257,1,3",11
3,"32,72,3",36
3,"12,12,1",11
3,"12,257,5",21
3,"12,12,12",10
4,"61,13,13,14",25
4,"strstr,5,0,strstr",10
4,"11,14,61,13",25
4,"12,12,12,12",10
4,"5,12,12,5",10
4,"12,5,12,12",11
4,"1,5,12,12",13
4,"0,strstr,strstr,5",10
4,"12,12,5,12",11
5,"12,12,5,12,12",11
