N,count,N-gram
2,2,"['rt_sigaction', 'vmsplice']"
2,2,"['munmap', 'pipe']"
2,2,"['brk', 'brk']"
2,2,"['getuid', 'getgid']"
2,2,"['mmap', 'munmap']"
2,2,"['close', 'rt_sigaction']"
2,2,"['pipe', 'close']"
2,2,"['setresuid', 'setresgid']"
2,2,"['setresgid', 'mmap']"
2,2,"['mmap', 'mmap']"
3,2,"['mmap', 'mmap', 'munmap']"
3,2,"['close', 'rt_sigaction', 'vmsplice']"
3,2,"['mmap', 'munmap', 'pipe']"
3,2,"['mmap', 'mmap', 'mmap']"
3,2,"['pipe', 'close', 'rt_sigaction']"
3,2,"['munmap', 'pipe', 'close']"
3,2,"['setresuid', 'setresgid', 'mmap']"
3,2,"['setresgid', 'mmap', 'mmap']"
4,2,"['mmap', 'mmap', 'munmap', 'pipe']"
4,2,"['setresgid', 'mmap', 'mmap', 'mmap']"
4,2,"['mmap', 'munmap', 'pipe', 'close']"
4,2,"['setresuid', 'setresgid', 'mmap', 'mmap']"
4,2,"['pipe', 'close', 'rt_sigaction', 'vmsplice']"
4,2,"['mmap', 'mmap', 'mmap', 'mmap']"
4,2,"['mmap', 'mmap', 'mmap', 'munmap']"
4,2,"['munmap', 'pipe', 'close', 'rt_sigaction']"
5,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap']"
5,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap']"
5,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap']"
5,2,"['mmap', 'mmap', 'mmap', 'munmap', 'pipe']"
5,2,"['mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
5,2,"['mmap', 'mmap', 'munmap', 'pipe', 'close']"
5,2,"['munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
6,2,"['mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
6,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap']"
6,2,"['mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
6,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap']"
6,2,"['mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close']"
6,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe']"
7,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap']"
7,2,"['mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
7,2,"['mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
7,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close']"
7,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe']"
8,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe']"
8,2,"['mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
8,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close']"
8,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
9,2,"['mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
9,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close']"
9,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
10,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction']"
10,2,"['setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
11,2,"['setresuid', 'setresgid', 'mmap', 'mmap', 'mmap', 'mmap', 'munmap', 'pipe', 'close', 'rt_sigaction', 'vmsplice']"
