N,count,N-gram
2,2,"['htonl', 'connect']"
2,2,"['openat', 'fstat']"
2,3,"['_10', '_5']"
2,2,"['htons', 'htonl']"
2,3,"['openat', 'write']"
2,2,"['sendto', 'setsockopt']"
2,3,"['mmap', 'rt_sigprocmask']"
2,3,"['va_end', 'openat']"
2,2,"['oob_execute', 'check_root']"
2,2,"['openat', 'setns']"
2,3,"['getgid', 'unshare']"
2,2,"['read', 'close']"
2,3,"['rt_sigprocmask', 'mmap']"
2,3,"['read', 'read']"
2,3,"['wait4', 'rt_sigaction']"
2,3,"['rt_sigaction', 'rt_sigprocmask']"
2,3,"['rt_sigprocmask', 'wait4']"
2,2,"['setns', 'rt_sigaction']"
2,2,"['brk', 'brk']"
2,3,"['check_smep_smap', 'setup_sandbox']"
2,2,"['sendto', 'close']"
2,3,"['clone', 'munmap']"
2,2,"['uname', 'brk']"
2,3,"['openat', 'close']"
2,2,"['detect_versions', 'check_smep_smap']"
2,2,"['get_kernel_addr', 'mmap_stack']"
2,2,"['connect', 'sendto']"
2,2,"['fstat', 'read']"
2,3,"['sched_setaffinity', 'rt_sigaction']"
2,3,"['openat', 'read']"
2,2,"['setsockopt', 'sendto']"
2,2,"['read', 'fstat']"
2,3,"['munmap', 'rt_sigprocmask']"
2,3,"['mmap', 'syslog']"
2,3,"['setup_sandbox', 'get_kernel_addr']"
2,3,"['unshare', 'unshare']"
2,2,"['close', 'uname']"
2,3,"['unshare', 'va_start']"
2,2,"['brk', 'openat']"
2,3,"['rt_sigprocmask', 'clone']"
2,3,"['rt_sigaction', 'rt_sigaction']"
2,3,"['va_start', 'va_end']"
2,3,"['write', 'close']"
2,3,"['close', 'sched_setaffinity']"
2,3,"['close', 'va_start']"
2,3,"['socket', 'htons']"
2,3,"['getuid', 'getgid']"
2,2,"['close', 'syslog']"
2,2,"['rt_sigprocmask', 'rt_sigaction']"
2,3,"['syslog', 'mmap']"
2,2,"['mmap_stack', 'oob_execute']"
3,2,"['htons', 'htonl', 'connect']"
3,3,"['syslog', 'mmap', 'syslog']"
3,3,"['openat', 'read', 'read']"
3,3,"['getgid', 'unshare', 'unshare']"
3,2,"['socket', 'htons', 'htonl']"
3,2,"['read', 'close', 'syslog']"
3,2,"['openat', 'setns', 'rt_sigaction']"
3,3,"['write', 'close', 'va_start']"
3,3,"['va_start', 'va_end', 'openat']"
3,2,"['fstat', 'read', 'close']"
3,2,"['read', 'fstat', 'read']"
3,2,"['sendto', 'setsockopt', 'sendto']"
3,2,"['uname', 'brk', 'brk']"
3,3,"['rt_sigprocmask', 'wait4', 'rt_sigaction']"
3,3,"['munmap', 'rt_sigprocmask', 'wait4']"
3,2,"['connect', 'sendto', 'setsockopt']"
3,2,"['get_kernel_addr', 'mmap_stack', 'oob_execute']"
3,2,"['rt_sigprocmask', 'rt_sigaction', 'rt_sigaction']"
3,2,"['read', 'close', 'uname']"
3,2,"['setsockopt', 'sendto', 'close']"
3,2,"['openat', 'fstat', 'read']"
3,2,"['brk', 'openat', 'fstat']"
3,3,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
3,3,"['close', 'va_start', 'va_end']"
3,3,"['rt_sigaction', 'rt_sigprocmask', 'mmap']"
3,3,"['write', 'close', 'sched_setaffinity']"
3,2,"['htonl', 'connect', 'sendto']"
3,2,"['brk', 'brk', 'openat']"
3,3,"['getuid', 'getgid', 'unshare']"
3,3,"['wait4', 'rt_sigaction', 'rt_sigaction']"
3,2,"['fstat', 'read', 'fstat']"
3,3,"['openat', 'write', 'close']"
3,3,"['read', 'read', 'read']"
3,3,"['check_smep_smap', 'setup_sandbox', 'get_kernel_addr']"
3,3,"['rt_sigprocmask', 'clone', 'munmap']"
3,3,"['close', 'sched_setaffinity', 'rt_sigaction']"
3,2,"['close', 'syslog', 'mmap']"
3,2,"['rt_sigaction', 'rt_sigprocmask', 'rt_sigaction']"
3,2,"['detect_versions', 'check_smep_smap', 'setup_sandbox']"
3,2,"['mmap_stack', 'oob_execute', 'check_root']"
3,2,"['setup_sandbox', 'get_kernel_addr', 'mmap_stack']"
3,2,"['setns', 'rt_sigaction', 'rt_sigaction']"
3,3,"['mmap', 'rt_sigprocmask', 'clone']"
3,3,"['clone', 'munmap', 'rt_sigprocmask']"
3,3,"['unshare', 'unshare', 'va_start']"
3,3,"['va_end', 'openat', 'write']"
3,3,"['unshare', 'va_start', 'va_end']"
3,2,"['close', 'uname', 'brk']"
3,3,"['rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
3,3,"['sched_setaffinity', 'rt_sigaction', 'rt_sigaction']"
4,3,"['unshare', 'unshare', 'va_start', 'va_end']"
4,3,"['mmap', 'rt_sigprocmask', 'clone', 'munmap']"
4,3,"['write', 'close', 'va_start', 'va_end']"
4,2,"['rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction']"
4,2,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction']"
4,2,"['fstat', 'read', 'close', 'uname']"
4,2,"['get_kernel_addr', 'mmap_stack', 'oob_execute', 'check_root']"
4,3,"['read', 'read', 'read', 'read']"
4,2,"['sendto', 'setsockopt', 'sendto', 'close']"
4,2,"['close', 'syslog', 'mmap', 'syslog']"
4,2,"['detect_versions', 'check_smep_smap', 'setup_sandbox', 'get_kernel_addr']"
4,3,"['getgid', 'unshare', 'unshare', 'va_start']"
4,2,"['setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
4,3,"['write', 'close', 'sched_setaffinity', 'rt_sigaction']"
4,3,"['close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction']"
4,2,"['brk', 'openat', 'fstat', 'read']"
4,2,"['htonl', 'connect', 'sendto', 'setsockopt']"
4,3,"['openat', 'write', 'close', 'va_start']"
4,2,"['rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
4,2,"['read', 'close', 'syslog', 'mmap']"
4,2,"['check_smep_smap', 'setup_sandbox', 'get_kernel_addr', 'mmap_stack']"
4,3,"['wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
4,3,"['close', 'va_start', 'va_end', 'openat']"
4,3,"['rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask']"
4,2,"['openat', 'fstat', 'read', 'fstat']"
4,2,"['socket', 'htons', 'htonl', 'connect']"
4,2,"['fstat', 'read', 'close', 'syslog']"
4,2,"['uname', 'brk', 'brk', 'openat']"
4,3,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
4,3,"['va_start', 'va_end', 'openat', 'write']"
4,2,"['read', 'fstat', 'read', 'close']"
4,3,"['getuid', 'getgid', 'unshare', 'unshare']"
4,2,"['connect', 'sendto', 'setsockopt', 'sendto']"
4,3,"['openat', 'read', 'read', 'read']"
4,3,"['rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction']"
4,2,"['htons', 'htonl', 'connect', 'sendto']"
4,2,"['fstat', 'read', 'fstat', 'read']"
4,3,"['clone', 'munmap', 'rt_sigprocmask', 'wait4']"
4,2,"['brk', 'brk', 'openat', 'fstat']"
4,3,"['rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone']"
4,3,"['sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
4,3,"['unshare', 'va_start', 'va_end', 'openat']"
4,2,"['read', 'fstat', 'read', 'fstat']"
4,2,"['close', 'uname', 'brk', 'brk']"
4,3,"['munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction']"
4,3,"['openat', 'write', 'close', 'sched_setaffinity']"
4,3,"['rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
4,2,"['openat', 'setns', 'rt_sigaction', 'rt_sigaction']"
4,2,"['setup_sandbox', 'get_kernel_addr', 'mmap_stack', 'oob_execute']"
4,2,"['read', 'close', 'uname', 'brk']"
4,3,"['va_end', 'openat', 'write', 'close']"
5,2,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction']"
5,2,"['rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
5,3,"['clone', 'munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction']"
5,2,"['close', 'uname', 'brk', 'brk', 'openat']"
5,2,"['fstat', 'read', 'close', 'syslog', 'mmap']"
5,3,"['sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
5,2,"['read', 'fstat', 'read', 'close', 'uname']"
5,3,"['rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
5,3,"['va_end', 'openat', 'write', 'close', 'va_start']"
5,3,"['close', 'va_start', 'va_end', 'openat', 'write']"
5,2,"['read', 'fstat', 'read', 'close', 'syslog']"
5,3,"['unshare', 'unshare', 'va_start', 'va_end', 'openat']"
5,3,"['getuid', 'getgid', 'unshare', 'unshare', 'va_start']"
5,2,"['read', 'close', 'uname', 'brk', 'brk']"
5,2,"['read', 'close', 'syslog', 'mmap', 'syslog']"
5,3,"['openat', 'read', 'read', 'read', 'read']"
5,3,"['rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone']"
5,3,"['va_start', 'va_end', 'openat', 'write', 'close']"
5,2,"['htonl', 'connect', 'sendto', 'setsockopt', 'sendto']"
5,3,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
5,2,"['rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
5,3,"['openat', 'write', 'close', 'va_start', 'va_end']"
5,2,"['setup_sandbox', 'get_kernel_addr', 'mmap_stack', 'oob_execute', 'check_root']"
5,3,"['write', 'close', 'va_start', 'va_end', 'openat']"
5,3,"['close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
5,2,"['read', 'fstat', 'read', 'fstat', 'read']"
5,3,"['getgid', 'unshare', 'unshare', 'va_start', 'va_end']"
5,2,"['fstat', 'read', 'fstat', 'read', 'close']"
5,2,"['openat', 'fstat', 'read', 'fstat', 'read']"
5,2,"['setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
5,2,"['fstat', 'read', 'fstat', 'read', 'fstat']"
5,3,"['rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask', 'wait4']"
5,3,"['unshare', 'va_start', 'va_end', 'openat', 'write']"
5,3,"['va_end', 'openat', 'write', 'close', 'sched_setaffinity']"
5,3,"['munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction']"
5,2,"['fstat', 'read', 'close', 'uname', 'brk']"
5,2,"['connect', 'sendto', 'setsockopt', 'sendto', 'close']"
5,2,"['check_smep_smap', 'setup_sandbox', 'get_kernel_addr', 'mmap_stack', 'oob_execute']"
5,2,"['brk', 'brk', 'openat', 'fstat', 'read']"
5,3,"['rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap']"
5,2,"['socket', 'htons', 'htonl', 'connect', 'sendto']"
5,3,"['write', 'close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction']"
5,2,"['wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction']"
5,2,"['openat', 'setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
5,3,"['openat', 'write', 'close', 'sched_setaffinity', 'rt_sigaction']"
5,3,"['mmap', 'rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask']"
5,2,"['uname', 'brk', 'brk', 'openat', 'fstat']"
5,2,"['brk', 'openat', 'fstat', 'read', 'fstat']"
5,2,"['htons', 'htonl', 'connect', 'sendto', 'setsockopt']"
6,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
6,2,"['check_smep_smap', 'setup_sandbox', 'get_kernel_addr', 'mmap_stack', 'oob_execute', 'check_root']"
6,3,"['clone', 'munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction']"
6,2,"['read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
6,2,"['fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
6,3,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone']"
6,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close']"
6,3,"['rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction']"
6,2,"['openat', 'setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
6,3,"['getuid', 'getgid', 'unshare', 'unshare', 'va_start', 'va_end']"
6,2,"['rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction']"
6,2,"['wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction']"
6,3,"['write', 'close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
6,2,"['fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
6,2,"['rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
6,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
6,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat']"
6,3,"['rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask']"
6,3,"['va_start', 'va_end', 'openat', 'write', 'close', 'sched_setaffinity']"
6,3,"['rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap']"
6,2,"['rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
6,3,"['unshare', 'unshare', 'va_start', 'va_end', 'openat', 'write']"
6,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname']"
6,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
6,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk']"
6,3,"['mmap', 'rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask', 'wait4']"
6,3,"['openat', 'write', 'close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction']"
6,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
6,2,"['setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
6,3,"['sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask']"
6,3,"['va_start', 'va_end', 'openat', 'write', 'close', 'va_start']"
6,2,"['htonl', 'connect', 'sendto', 'setsockopt', 'sendto', 'close']"
6,2,"['htons', 'htonl', 'connect', 'sendto', 'setsockopt', 'sendto']"
6,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
6,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
6,3,"['write', 'close', 'va_start', 'va_end', 'openat', 'write']"
6,3,"['getgid', 'unshare', 'unshare', 'va_start', 'va_end', 'openat']"
6,3,"['munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
6,2,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
6,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk']"
6,3,"['close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
6,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
6,2,"['socket', 'htons', 'htonl', 'connect', 'sendto', 'setsockopt']"
6,3,"['va_end', 'openat', 'write', 'close', 'va_start', 'va_end']"
6,3,"['openat', 'write', 'close', 'va_start', 'va_end', 'openat']"
6,3,"['va_end', 'openat', 'write', 'close', 'sched_setaffinity', 'rt_sigaction']"
6,3,"['close', 'va_start', 'va_end', 'openat', 'write', 'close']"
6,3,"['unshare', 'va_start', 'va_end', 'openat', 'write', 'close']"
7,3,"['clone', 'munmap', 'rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
7,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
7,2,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap']"
7,3,"['close', 'va_start', 'va_end', 'openat', 'write', 'close', 'va_start']"
7,3,"['unshare', 'va_start', 'va_end', 'openat', 'write', 'close', 'va_start']"
7,3,"['sched_setaffinity', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone']"
7,3,"['rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask', 'wait4']"
7,3,"['close', 'va_start', 'va_end', 'openat', 'write', 'close', 'sched_setaffinity']"
7,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
7,3,"['va_start', 'va_end', 'openat', 'write', 'close', 'sched_setaffinity', 'rt_sigaction']"
7,2,"['rt_sigprocmask', 'wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction']"
7,2,"['socket', 'htons', 'htonl', 'connect', 'sendto', 'setsockopt', 'sendto']"
7,3,"['rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap', 'rt_sigprocmask']"
7,2,"['read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
7,3,"['rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone', 'munmap']"
7,2,"['wait4', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask']"
7,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
7,3,"['va_end', 'openat', 'write', 'close', 'va_start', 'va_end', 'openat']"
7,3,"['unshare', 'unshare', 'va_start', 'va_end', 'openat', 'write', 'close']"
7,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
7,3,"['va_end', 'openat', 'write', 'close', 'sched_setaffinity', 'rt_sigaction', 'rt_sigaction']"
7,3,"['getgid', 'unshare', 'unshare', 'va_start', 'va_end', 'openat', 'write']"
7,2,"['setns', 'rt_sigaction', 'rt_sigaction', 'rt_sigprocmask', 'mmap', 'rt_sigprocmask', 'clone']"
7,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
