N,count,N-gram
2,2,"['check_zombie_child', 'clone']"
2,3,"['wait4', 'write']"
2,2,"['write', 'check_zombie_child']"
2,2,"['brute_socket_create', 'check_zombie_child']"
2,2,"['brk', 'brk']"
2,2,"['geteuid', 'execve']"
2,2,"['socket', 'geteuid']"
2,2,"['brk', 'clone']"
2,3,"['clone', 'write']"
2,2,"['write', 'brute_socket_create']"
3,2,"['check_zombie_child', 'clone', 'write']"
3,2,"['brk', 'brk', 'clone']"
3,2,"['clone', 'write', 'check_zombie_child']"
3,2,"['brute_socket_create', 'check_zombie_child', 'clone']"
3,2,"['socket', 'geteuid', 'execve']"
3,2,"['brk', 'clone', 'write']"
3,2,"['write', 'brute_socket_create', 'check_zombie_child']"
3,2,"['write', 'check_zombie_child', 'clone']"
3,2,"['clone', 'write', 'brute_socket_create']"
4,2,"['write', 'check_zombie_child', 'clone', 'write']"
4,2,"['clone', 'write', 'brute_socket_create', 'check_zombie_child']"
4,2,"['brk', 'clone', 'write', 'check_zombie_child']"
4,2,"['clone', 'write', 'check_zombie_child', 'clone']"
4,2,"['check_zombie_child', 'clone', 'write', 'check_zombie_child']"
4,2,"['brk', 'clone', 'write', 'brute_socket_create']"
4,2,"['write', 'brute_socket_create', 'check_zombie_child', 'clone']"
4,2,"['brk', 'brk', 'clone', 'write']"
4,2,"['brute_socket_create', 'check_zombie_child', 'clone', 'write']"
4,2,"['check_zombie_child', 'clone', 'write', 'brute_socket_create']"
5,2,"['brk', 'brk', 'clone', 'write', 'brute_socket_create']"
5,2,"['brk', 'brk', 'clone', 'write', 'check_zombie_child']"
5,2,"['brute_socket_create', 'check_zombie_child', 'clone', 'write', 'brute_socket_create']"
5,2,"['clone', 'write', 'check_zombie_child', 'clone', 'write']"
5,2,"['write', 'check_zombie_child', 'clone', 'write', 'check_zombie_child']"
5,2,"['check_zombie_child', 'clone', 'write', 'brute_socket_create', 'check_zombie_child']"
5,2,"['write', 'brute_socket_create', 'check_zombie_child', 'clone', 'write']"
5,2,"['check_zombie_child', 'clone', 'write', 'check_zombie_child', 'clone']"
5,2,"['brk', 'clone', 'write', 'check_zombie_child', 'clone']"
5,2,"['brk', 'clone', 'write', 'brute_socket_create', 'check_zombie_child']"
5,2,"['clone', 'write', 'brute_socket_create', 'check_zombie_child', 'clone']"
6,2,"['brk', 'clone', 'write', 'brute_socket_create', 'check_zombie_child', 'clone']"
6,2,"['check_zombie_child', 'clone', 'write', 'brute_socket_create', 'check_zombie_child', 'clone']"
6,2,"['write', 'brute_socket_create', 'check_zombie_child', 'clone', 'write', 'brute_socket_create']"
6,2,"['brute_socket_create', 'check_zombie_child', 'clone', 'write', 'brute_socket_create', 'check_zombie_child']"
6,2,"['clone', 'write', 'check_zombie_child', 'clone', 'write', 'check_zombie_child']"
6,2,"['write', 'check_zombie_child', 'clone', 'write', 'check_zombie_child', 'clone']"
6,2,"['brk', 'brk', 'clone', 'write', 'check_zombie_child', 'clone']"
6,2,"['brk', 'brk', 'clone', 'write', 'brute_socket_create', 'check_zombie_child']"
6,2,"['check_zombie_child', 'clone', 'write', 'check_zombie_child', 'clone', 'write']"
6,2,"['clone', 'write', 'brute_socket_create', 'check_zombie_child', 'clone', 'write']"
6,2,"['brk', 'clone', 'write', 'check_zombie_child', 'clone', 'write']"
