N,count,N-gram
2,4,"['clone', 'write']"
2,4,"['ptrace', 'ptrace']"
2,2,"['ptrace', 'wait4']"
2,2,"['ptrace', 'clock_nanosleep']"
2,3,"['write', 'ptrace']"
2,2,"['write', 'execve']"
3,2,"['clone', 'write', 'execve']"
3,3,"['clone', 'write', 'ptrace']"
3,4,"['ptrace', 'ptrace', 'ptrace']"
3,2,"['ptrace', 'ptrace', 'clock_nanosleep']"
4,3,"['ptrace', 'ptrace', 'ptrace', 'ptrace']"
4,2,"['ptrace', 'ptrace', 'ptrace', 'clock_nanosleep']"
5,2,"['ptrace', 'ptrace', 'ptrace', 'ptrace', 'clock_nanosleep']"
5,2,"['ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace']"
6,2,"['ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace', 'clock_nanosleep']"
6,2,"['ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace']"
7,2,"['ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace', 'ptrace', 'clock_nanosleep']"
