EID,func,API use case
10613,getchar,getc (stdin);
10613,putchar,"putc (__c, stdout);"
10613,fputc_unlocked,"__builtin_expect (__stream->_IO_write_ptr >= __stream->_IO_write_end, 0) != 0 ? __overflow (__stream, (int) (unsigned char) __c) : (int) (unsigned char) (*__stream->_IO_write_ptr++  = (char) __c);"
10613,putc_unlocked,"__builtin_expect (__stream->_IO_write_ptr >= __stream->_IO_write_end, 0) != 0 ? __overflow (__stream, (int) (unsigned char) __c) : (int) (unsigned char) (*__stream->_IO_write_ptr++  = (char) __c);"
10613,putchar_unlocked,"__builtin_expect (stdout->_IO_write_ptr >= stdout->_IO_write_end, 0) != 0 ? __overflow (stdout, (int) (unsigned char) __c) : (int) (unsigned char) (*stdout->_IO_write_ptr++  = (char) __c);"
10613,getline,"__getdelim (__lineptr, __n, 10, __stream);"
10613,sprintf,"__builtin___sprintf_chk (__s, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __builtin_va_arg_pack ());"
10613,vsprintf,"__builtin___vsprintf_chk (__s, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __ap);"
10613,snprintf,"__builtin___snprintf_chk (__s, __n, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __builtin_va_arg_pack ());"
10613,vsnprintf,"__builtin___vsnprintf_chk (__s, __n, 1, __builtin_object_size ((const void *) __s, 1), __fmt, __ap);"
10613,fprintf,"__fprintf_chk (__stream, 1, __fmt, __builtin_va_arg_pack ());"
10613,printf,"__printf_chk (1, __fmt, __builtin_va_arg_pack ());"
10613,vprintf,"__vfprintf_chk (stdout, 1, __fmt, __ap);"
10613,vfprintf,"__vfprintf_chk (__stream, 1, __fmt, __ap);"
10613,dprintf,"__dprintf_chk (__fd, 1, __fmt, __builtin_va_arg_pack ());"
10613,vdprintf,"__vdprintf_chk (__fd, 1, __fmt, __ap);"
10613,asprintf,"__asprintf_chk (__ptr, 1, __fmt, __builtin_va_arg_pack ());"
10613,__asprintf,"__asprintf_chk (__ptr, 1, __fmt, __builtin_va_arg_pack ());"
10613,obstack_printf,"__obstack_printf_chk (__obstack, 1, __fmt, __builtin_va_arg_pack ());"
10613,vasprintf,"__vasprintf_chk (__ptr, 1, __fmt, __ap);"
10613,obstack_vprintf,"__obstack_vprintf_chk (__obstack, 1, __fmt, __ap);"
10613,fgets,"__builtin_object_size ((const void *) __s, 1)"
10613,fgets,__builtin_constant_p (__n)
10613,fgets,"__fgets_chk (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
10613,fgets,"__builtin_object_size ((const void *) __s, 1)"
10613,fgets,"__fgets_chk_warn (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
10613,fgets,"__fgets_alias (__s, __n, __stream);"
10613,fread,"__builtin_object_size ((const void *) __ptr, 0)"
10613,fread,__builtin_constant_p (__size) == 0 || __builtin_constant_p (__n) == 0) || (__size | __n)
10613,fread,"__fread_chk (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
10613,fread,"__builtin_object_size ((const void *) __ptr, 0)"
10613,fread,"__fread_chk_warn (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
10613,fread,"__fread_alias (__ptr, __size, __n, __stream);"
10613,fgets_unlocked,"__builtin_object_size ((const void *) __s, 1)"
10613,fgets_unlocked,__builtin_constant_p (__n)
10613,fgets_unlocked,"__fgets_unlocked_chk (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
10613,fgets_unlocked,"__builtin_object_size ((const void *) __s, 1)"
10613,fgets_unlocked,"__fgets_unlocked_chk_warn (__s, __builtin_object_size ((const void *) __s, 1), __n, __stream);"
10613,fgets_unlocked,"__fgets_unlocked_alias (__s, __n, __stream);"
10613,fread_unlocked,"__builtin_object_size ((const void *) __ptr, 0)"
10613,fread_unlocked,__builtin_constant_p (__size) == 0 || __builtin_constant_p (__n) == 0) || (__size | __n)
10613,fread_unlocked,"__fread_unlocked_chk (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
10613,fread_unlocked,"__builtin_object_size ((const void *) __ptr, 0)"
10613,fread_unlocked,"__fread_unlocked_chk_warn (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
10613,fread_unlocked,__builtin_constant_p (__size) != 0 && __builtin_constant_p (__n) != 0) && (__size | __n) <= 4294967295)
10613,fread_unlocked,getc_unlocked (__stream);
10613,fread_unlocked,getc_unlocked (__stream);
10613,fread_unlocked,return (size_t) ((long unsigned int) (__cptr - (char *) __ptr) / (long unsigned int) __size);
10613,fread_unlocked,"__fread_unlocked_alias (__ptr, __size, __n, __stream);"
10613,atoi,"return (int) strtol (__nptr, 0B, 10);"
10613,atol,"strtol (__nptr, 0B, 10);"
10613,atoll,"strtoll (__nptr, 0B, 10);"
