EID,API
10613,memset
10613,STACK
10613,pipe
10613,getuid
10613,setresuid
10613,printf
10613,strerror
10613,putenv
10613,munmap
10613,close
10613,mmap
10613,execl
10613,getgid
10613,exit
10613,setresgid
10613,signal
10613,fflush
12,kill
12,setpgrp
12,getpid
12,umask
12,fseek
12,snprintf
12,setsid
12,ptrace
12,fscanf
12,exit
12,signal
12,fflush
12,fdopen
12,waitpid
12,mmap
12,unlink
12,fork
12,getppid
12,perror
12,fgets
12,fclose
12,fprintf
12,open
131,kill
131,memset
131,getpid
131,sigemptyset
131,longjmp
131,sbrk
131,execve
131,setjmp
131,exit
131,signal
131,sigaction
131,asm
131,strerror
131,munmap
131,str
131,next
131,pause
131,getuid
131,mprotect
131,fprintf
131,modify_ldt
1397,snprintf
1397,dup2
1397,close
1397,epoll_create
1397,alloca
1397,epoll_wait
1397,system
1397,memcpy
1397,strstr
1397,execve
1397,MKPMD
1397,MKPTE
1397,exit
1397,free
1397,setresgid
1397,signal
1397,fflush
1397,epoll_ctl
1397,socketpair
1397,setresuid
1397,asm
1397,printf
1397,getopt
1397,SET_IDT_GATE
1397,getline
1397,send
1397,fopen
1397,perror
1397,getuid
1397,atoi
1397,fclose
1397,geteuid
145,kill
145,rand
145,srand
145,getpid
145,dup2
145,xstr
145,exit
145,signal
145,fflush
145,lseek
145,setresuid
145,waitpid
145,munmap
145,time
145,mmap
145,strcmp
145,sys_mremap
145,fork
145,getppid
145,fopen
145,perror
145,fgets
145,pause
145,getuid
145,fclose
145,fprintf
145,wait
145,execl
145,sscanf
145,getgid
145,geteuid
145,sleep
14814,memset
14814,system
14814,shmat
14814,memcpy
14814,exit
14814,setresgid
14814,setresuid
14814,printf
14814,socket
14814,mmap
14814,strcmp
14814,connect
14814,send
14814,fopen
14814,fgets
14814,getuid
14814,malloc
14814,fclose
14814,shmget
14814,execl
14814,sscanf
14814,getgid
15023,fopen
15023,ptrace
15023,WSTOPSIG
15023,perror
15023,fscanf
15023,strrchr
15023,strstr
15023,strncmp
15023,WIFEXITED
15023,fclose
15023,wait
15023,mmap
15023,strcmp
15023,execl
15023,WIFSTOPPED
15023,exit
15023,fork
15023,sleep
15024,memset
15024,strlen
15024,uname
15024,close
15024,read
15024,poll
15024,execve
15024,msgctl
15024,getcwd
15024,msgget
15024,strcat
15024,waitpid
15024,getopt
15024,socket
15024,munmap
15024,mmap
15024,strcmp
15024,unlink
15024,write
15024,strcpy
15024,fork
15024,fopen
15024,strtoull
15024,fgets
15024,isRHHGDPPLADSF
15024,getuid
15024,atoi
15024,fclose
15024,open
15024,sleep
15285,memset
15285,ptrace
15285,htons
15285,getuid
15285,strncmp
15285,printf
15285,socket
15285,bind
15285,uname
15285,wait
15285,execl
15285,recvfrom
15285,exit
15285,inet_addr
15285,sendmsg
15285,fork
15285,sleep
15704,clone
15704,ioctl
15704,uname
15704,memcpy
15704,fscanf
15704,strstr
15704,strncmp
15704,pipe
15704,socket
15704,mmap
15704,strcmp
15704,fopen
15704,strrchr
15704,malloc
15704,getuid
15704,sprintf
