N,N-gram,count
2,"5,0",25
2,"fclose,12",6
2,"3,1",40
2,"fclose,uname",5
2,"9,9",6
2,"230,5",6
2,"101,101",9
2,"12,12",44
2,"14,9",25
2,"3,exit",7
2,"strstr,strstr",12
2,"0,5",22
2,"1,56",10
2,"1,61",9
2,"230,exit",5
2,"va_end,257",6
2,"strstr,strrchr",6
2,"41,42",5
2,"1,101",10
2,"13,13",26
2,"102,5",8
2,"54,54",6
2,"257,0",7
2,"12,5",16
2,"11,14",25
2,"117,119",11
2,"230,230",5
2,"56,1",43
2,"32,72",37
2,"12,1",11
2,"12,exit",10
2,"107,102",5
2,"13,14",25
2,"strrchr,fclose",6
2,"14,61",25
2,"59,231",5
2,"101,61",7
2,"9,5",8
2,"0,8",6
2,"5,5",5
2,"get_kernel_sym,get_kernel_sym",6
2,"3,59",6
2,"0,3",6
2,"exit,5",5
2,"257,12",8
2,"257,uname",5
2,"41,9",5
2,"102,104",15
2,"1,kill",8
2,"5,exit",6
2,"0,fclose",17
2,"exit,exit",5
2,"va_start,va_end",6
2,"1,5",20
2,"1,3",21
2,"46,3",5
2,"59,32",9
2,"102,13",5
2,"12,257",24
2,"0,strstr",11
2,"5,12",22
2,"1,1",12
2,"9,32",8
2,"102,59",8
2,"257,8",6
2,"strstr,5",12
2,"1,102",5
2,"1,exit",27
2,"257,5",26
2,"257,3",7
2,"stat,exit",6
2,"105,59",6
2,"257,1",12
2,"12,59",7
2,"9,41",5
2,"strstr,fclose",9
2,"3,5",9
2,"8,0",6
2,"72,3",37
2,"257,exit",8
2,"1,12",6
2,"kill,230",5
2,"56,11",25
2,"0,0",9
2,"1,32",16
2,"1,230",7
2,"41,41",7
2,"59,exit",7
2,"61,1",17
2,"12,56",8
2,"61,13",25
2,"9,exit",5
2,"257,32",6
2,"fclose,5",6
2,"12,9",8
2,"stat,stat",7
2,"272,272",6
2,"strrchr,5",7
2,"257,257",5
2,"9,14",25
2,"9,__assert_fail",7
2,"1,59",11
2,"14,56",25
2,"_3=prepare_kernel_cred.1_2,commit_creds.0_1",10
2,"3,3",12
2,"41,32",11
3,"12,12,59",7
3,"strstr,5,0",11
3,"1,5,12",13
3,"0,strstr,strstr",10
3,"fclose,12,12",6
3,"72,3,1",37
3,"strstr,strstr,strrchr",6
3,"3,5,12",6
3,"9,32,72",8
3,"1,1,5",5
3,"12,9,5",5
3,"strstr,strstr,5",11
3,"12,12,56",8
3,"1,61,1",8
3,"12,257,5",21
3,"strstr,strrchr,fclose",6
3,"102,13,13",5
3,"59,32,72",9
3,"1,3,5",5
3,"9,5,12",8
3,"1,kill,230",5
3,"1,56,1",7
3,"12,12,5",16
3,"fclose,5,12",6
3,"5,0,strstr",10
3,"va_start,va_end,257",6
3,"257,1,3",11
3,"5,0,fclose",16
3,"56,1,101",7
3,"va_end,257,1",5
3,"0,fclose,5",5
3,"0,fclose,12",5
3,"5,12,12",22
3,"12,5,0",6
3,"14,61,13",25
3,"12,12,1",11
3,"1,12,12",6
3,"102,5,12",6
3,"41,41,41",5
3,"101,101,61",5
3,"101,61,1",5
3,"12,12,257",24
3,"56,1,59",5
3,"11,14,61",25
3,"41,32,72",11
3,"257,32,72",6
3,"9,14,56",25
3,"12,56,1",5
3,"0,0,0",6
3,"12,257,12",7
3,"61,13,13",25
3,"56,1,5",9
3,"257,12,12",8
3,"3,1,1",5
3,"13,14,9",25
3,"101,101,101",9
3,"14,9,14",25
3,"56,1,61",6
3,"56,1,56",6
3,"257,5,12",8
3,"12,12,9",8
3,"12,5,12",11
3,"56,1,kill",6
3,"5,0,5",19
3,"strstr,strstr,fclose",8
3,"strrchr,5,0",6
3,"257,5,0",19
3,"56,11,14",25
3,"stat,stat,exit",5
3,"12,12,12",10
3,"3,1,exit",19
3,"0,fclose,uname",5
3,"14,56,11",25
3,"13,13,14",25
3,"1,32,72",16
3,"strstr,strrchr,5",6
3,"56,1,32",9
3,"0,strstr,fclose",7
3,"0,5,0",18
3,"0,strstr,5",9
3,"12,12,exit",9
3,"1,1,1",7
3,"32,72,3",37
4,"14,56,11,14",25
4,"257,5,0,5",16
4,"5,12,12,59",7
4,"9,5,12,12",8
4,"257,5,12,12",8
4,"strstr,strrchr,5,0",6
4,"12,257,12,12",7
4,"strrchr,5,0,strstr",6
4,"257,32,72,3",6
4,"0,strstr,strstr,fclose",8
4,"1,32,72,3",16
4,"12,12,257,5",21
4,"0,fclose,5,12",5
4,"61,13,13,14",25
4,"5,0,strstr,strstr",9
4,"14,9,14,56",25
4,"strstr,strstr,strrchr,5",6
4,"0,strstr,strstr,strrchr",6
4,"5,0,strstr,fclose",7
4,"5,12,12,1",9
4,"0,5,0,5",18
4,"5,12,12,5",10
4,"va_end,257,1,3",5
4,"11,14,61,13",25
4,"5,12,12,exit",8
4,"12,5,12,12",11
4,"12,12,5,12",11
4,"9,14,56,11",25
4,"fclose,12,12,257",6
4,"12,12,56,1",5
4,"5,0,strstr,5",8
4,"101,101,101,101",8
4,"72,3,1,exit",18
4,"0,strstr,5,0",9
4,"12,12,257,12",7
4,"fclose,5,12,12",6
4,"102,5,12,12",6
4,"56,1,5,12",7
4,"0,5,0,strstr",6
4,"1,5,12,12",13
4,"0,fclose,12,12",5
4,"12,12,5,0",6
4,"56,1,61,1",6
4,"0,0,0,0",6
4,"9,32,72,3",8
4,"257,12,12,257",7
4,"14,61,13,13",25
4,"5,12,12,12",8
4,"5,0,fclose,12",5
4,"102,13,13,14",5
4,"5,0,5,0",18
4,"12,257,5,0",17
4,"5,0,fclose,uname",5
4,"12,257,5,12",5
4,"13,13,14,9",25
4,"3,1,1,1",5
4,"12,9,5,12",5
4,"12,12,12,12",10
4,"59,32,72,3",9
4,"32,72,3,1",37
4,"strrchr,5,0,fclose",6
4,"va_start,va_end,257,1",5
4,"12,12,9,5",5
4,"41,32,72,3",11
4,"56,1,32,72",9
4,"257,5,0,strstr",9
4,"0,5,0,fclose",15
4,"13,14,9,14",25
4,"strstr,strstr,strrchr,fclose",6
4,"strstr,5,0,strstr",10
4,"56,11,14,61",25
4,"0,strstr,strstr,5",10
4,"3,5,12,12",6
4,"strrchr,5,0,5",6
4,"strstr,strstr,5,0",10
5,"strstr,strrchr,5,0,strstr",6
5,"102,5,12,12,59",5
5,"32,72,3,1,exit",18
5,"0,5,0,strstr,strstr",6
5,"56,1,32,72,3",9
5,"strstr,strstr,strrchr,5,0",6
5,"257,5,0,5,0",15
5,"9,32,72,3,1",8
5,"12,257,5,0,5",16
5,"14,9,14,56,11",25
5,"0,strstr,strstr,strrchr,5",6
5,"257,5,0,strstr,5",7
5,"12,257,5,0,strstr",9
5,"fclose,12,12,257,5",5
5,"strstr,5,0,strstr,strstr",9
5,"56,1,5,12,12",7
5,"56,11,14,61,13",25
5,"12,12,257,5,0",17
5,"14,61,13,13,14",25
5,"5,0,strstr,strstr,strrchr",6
5,"5,0,5,0,strstr",6
5,"strstr,strstr,5,0,strstr",9
5,"0,5,0,fclose,uname",5
5,"257,32,72,3,1",6
5,"0,strstr,strstr,strrchr,fclose",6
5,"0,fclose,12,12,257",5
5,"12,12,9,5,12",5
5,"1,32,72,3,1",16
5,"strstr,strrchr,5,0,fclose",6
5,"257,5,0,strstr,strstr",8
5,"0,strstr,5,0,strstr",8
5,"0,strstr,strstr,5,0",10
5,"va_start,va_end,257,1,3",5
